subject_id,rsi_real,dynamic_range_real,smoothness_real,anisotropy_real,variance_real,rsi_null,dynamic_range_null,smoothness_null,anisotropy_null,variance_null
420,1.9143967665874444,6.387432820058832,0.541839464407022,2.0287177495739064,1.1238964325292604,1.245411050950101,5.405237674128832,0.5323480571191999,1.8070762011847539,1.0251838655434768
455,0.9893788299140861,6.684816860189709,0.7037241469404952,2.0723759101314387,1.275188869633691,1.0957544214327728,6.222778355000045,0.685707673507734,1.8146793032572885,1.208242726967291
2685,0.9875052750468938,6.151542313979036,0.5899103595942645,1.7795524148386626,1.2158879722587987,1.484087380061248,6.4308986642804555,0.5902064815792364,1.6648314847602808,1.223443021041959
2315,1.1779569859741177,7.328900523487876,0.8233219713108584,2.1447307535856686,2.0833063012345834,1.193157403195403,7.527069629052512,0.8271644099355097,2.1765274584582066,2.110880718922477
2280,2.2125106478535566,6.116519963474477,0.6301493519076783,1.8934247482813877,1.193070597258192,0.9401374603196884,5.660880027654041,0.6389508249358036,2.0292419990972386,1.2185690333839345
2255,1.4802519986769087,7.35270264546741,0.8054788220295259,2.090065299830105,1.9291272517126563,1.222139044923337,7.109287877181263,0.8067940803002049,2.1028856012815886,1.9129034980626642
2170,1.0917251472436014,6.824136364947067,0.7586442565392953,1.9917564655960742,1.6051165272490067,2.135080891881828,6.9241494627743645,0.7665227509741848,1.758157484178889,1.6531965363492338
1850,0.8328349540935328,5.419284236738726,0.5913099210128234,1.9681076428632636,0.9553864350480002,1.0995725880745584,6.988498100181433,0.6136634654708983,1.7194143182943882,1.0388231704915858
1795,2.3196988991078817,9.94989906051455,1.0929081587943756,2.1873815232978546,3.6030472808926146,2.207632724821654,9.762165944323947,1.1331335315594284,2.547862529168981,4.275032057166004
1740,1.572702582333853,7.161427885785397,0.6673481268813896,1.8669810392865014,1.338300570300323,2.1685656045658437,7.768099385231574,0.6715170373314777,1.751222374009257,1.3851266049293836
