subject,rsi,dynamic_range,smoothness,anisotropy,natal_rank,n_local_maxima
1000,1.7219085551868374,9.738438162507732,1.1427892475361863,2.2202612872097083,0.39809049398090496,106
1030,2.3340635890522314,7.536341710829275,0.7806880372808371,1.9489929827440808,0.9360730593607306,112
1035,2.2734986612279413,6.804395383631158,0.7106870255168675,1.6184091664371287,0.9634703196347032,166
1055,1.0957822328640778,7.529789774531727,0.7417628365567672,2.0133602078716293,0.43420506434205064,118
1480,0.9807763845266333,7.284315406803085,0.750551255628132,1.7170931852812925,0.5554171855541719,151
1490,1.133531255339575,6.673576200587382,0.6203745093385236,1.9008454502255019,0.33748443337484435,107
1500,1.6411844911655245,8.729404168799965,0.8990085543024416,2.2133624243126295,0.8044831880448319,139
1550,2.5579608346448754,6.08241835932701,0.7137009115829376,1.9910864158952588,0.0091324200913242,173
1555,2.2414477261369052,8.509911371602911,0.9070581853772721,2.124592531490093,0.12121212121212122,115
1570,1.52672974291048,8.763719776375341,0.7197729090028991,1.789636873547816,0.19219593192195933,105
1655,1.970118400402381,7.9598327114955545,0.8293490737139405,2.289082658343655,0.8704856787048568,149
1735,1.1747399745763556,6.446233732542257,0.603515835076296,1.871161325574956,0.20755500207555003,149
1740,1.572702582333853,7.161427885785397,0.6673481268813896,1.8669810392865014,0.8904109589041096,162
1745,1.5863921229236442,6.824692731576366,0.7899125309907676,2.086239854672774,0.8015774180157742,142
1795,2.3196988991078817,9.94989906051455,1.0929081587943756,2.1873815232978546,0.09547530095475301,111
1850,0.8328349540935328,5.419284236738726,0.5913099210128234,1.9681076428632636,0.6164383561643836,135
2170,1.0917251472436014,6.824136364947067,0.7586442565392953,1.9917564655960742,0.6836861768368617,169
2245,0.9525753483734716,6.407830470225123,0.6130645392292441,2.103675660694435,0.6243254462432545,140
2255,1.4802519986769087,7.35270264546741,0.8054788220295259,2.090065299830105,0.7791614777916148,109
2280,2.2125106478535566,6.116519963474477,0.6301493519076783,1.8934247482813877,0.038190120381901206,171
2315,1.1779569859741177,7.328900523487876,0.8233219713108584,2.1447307535856686,0.4487339144873391,112
2675,1.0484694555180185,7.147676610484526,0.7184911384776635,1.7662792137054748,0.7318389373183893,164
2685,0.9875052750468938,6.151542313979036,0.5899103595942645,1.7795524148386626,0.3026151930261519,146
2710,0.9860430308249417,6.964181156298453,0.6664724845716342,1.949407411489195,0.33623910336239105,164
2745,0.9868706653116835,6.513178211646347,0.5847855844389108,1.947671135856223,0.6857617268576173,178
2805,1.0394505572444155,7.572264320264987,0.7564791659004768,1.988382705259745,0.5550020755500208,146
2855,1.5627354904557609,7.249355997522162,0.7687781743341103,2.0302382011191265,0.1353258613532586,188
2925,1.751696616277474,10.257297789773746,0.9187466132909139,1.9214829658799575,0.24117891241178913,98
3080,2.3378499390430973,9.74711306904325,1.0501064700838512,2.1970309991752495,0.8779576587795765,118
3115,2.292715682272194,9.11521220511461,0.8028839064685495,1.825839076826347,0.05977584059775841,128
3120,1.2888228005477995,8.078909184089827,0.7696159596292188,2.0329054130952158,0.3574097135740971,110
3155,1.882080239147763,7.063136830024321,0.8128272093519318,2.059374053683444,0.0921544209215442,147
3165,1.3490385923683352,5.237074603966329,0.46250624426384096,1.7377883896876996,0.0506434205064342,169
3480,2.4996048076053556,8.435062291798644,0.7698336432481213,1.8406622113831224,0.975093399750934,189
3485,1.2515169841769396,7.8186213120430175,0.9163198875903555,2.1494084323468443,0.49564134495641343,124
3555,1.8588882123896313,12.253022475387105,1.3475761247065456,2.0587823484604963,0.5570776255707762,134
3570,1.768234941639887,8.05875982024548,0.8096801115257718,1.8007603655323556,0.8738065587380656,174
3600,1.1075174484845882,6.926945120776475,0.7025122292800589,2.0011673464940585,0.6953092569530925,129
3735,1.3400498794014375,7.378929630157616,0.8917361800242746,1.979061733401981,0.37027812370278124,116
3840,1.8086050767516995,5.482729819688995,0.6133918046374419,1.9574958926560349,0.9726027397260274,185
3850,2.8489263589066414,11.782973123777488,1.2518754180799156,2.20316054336991,0.1461187214611872,87
3890,1.0213230859065257,7.231881505332529,0.7573559638673864,2.0523883988128637,0.37608966376089664,191
3935,2.1713626843025495,6.770205231483805,0.5564784928455575,1.6205204843734715,0.970942299709423,142
420,1.9143967665874444,6.387432820058832,0.541839464407022,2.0287177495739064,0.9518472395184724,169
455,0.9893788299140861,6.684816860189709,0.7037241469404952,2.0723759101314387,0.33208800332088,153
515,2.5759587545905305,8.30804560449233,0.7565551304967314,2.1767843090428434,0.020755500207555,109
525,1.7001551169908808,9.848805495317134,1.1128833827334181,2.2786558596613498,0.6525529265255293,124
915,0.8802516294340076,5.408286929478445,0.542273905873209,1.8628439755514774,0.3470319634703196,137
960,3.6005712971688904,11.94594319976158,1.6302337205755784,2.31171911438078,0.8493150684931506,123
990,1.045264037874124,7.713239874987206,0.8300259841197966,1.9212741976585268,0.518887505188875,193
